watched_date,tmdb_id,imdb_id,title,release_year,my_rating,star_rating,is_rewatch
2019-01-14,99861,tt2395427,Avengers: Age of Ultron,2015,70.0,,false
2019-01-14,100402,tt1843866,Captain America: The Winter Soldier,2014,70.0,,false
2019-01-19,747,tt0365748,Shaun of the Dead,2004,70.0,,false
2019-01-20,283995,tt3896198,Guardians of the Galaxy Vol. 2,2017,70.0,,false
2019-01-20,333339,tt1677720,Ready Player One,2018,50.0,,false
2019-01-21,284054,tt1825683,Black Panther,2018,60.0,,false
2019-01-21,271110,tt3498820,Captain America: Civil War,2016,80.0,,false
2019-01-23,28,tt0078788,Apocalypse Now,1979,100.0,,false
2019-01-24,433249,tt3256226,IO,2019,50.0,,false
2019-01-26,4539,tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,1991,100.0,,false
2019-01-27,818,tt0295178,Austin Powers in Goldmember,2002,40.0,,false
2019-02-02,468362,tt5968274,The Angel,2018,70.0,,false
2019-02-02,2567,tt0338751,The Aviator,2004,70.0,,false
2019-02-03,170,tt0289043,28 Days Later,2002,80.0,,false
2019-02-03,24,tt0266697,Kill Bill: Vol. 1,2003,70.0,,false
2019-02-03,393,tt0378194,Kill Bill: Vol. 2,2004,70.0,,false
2019-02-04,12475,tt0110123,In the Army Now,1994,80.0,,false
2019-02-04,376660,tt1878870,The Edge of Seventeen,2016,80.0,,false
2019-02-14,510498,tt8128188,High Flying Bird,2019,80.0,,false
2019-02-16,93856,tt1991245,Chernobyl Diaries,2012,50.0,,false
2019-02-23,9571,tt0106677,Dazed and Confused,1993,90.0,,false
2019-02-23,78997,tt2060510,Jimi Hendrix: Voodoo Child,2010,80.0,,false
2019-02-23,11324,tt1130884,Shutter Island,2010,30.0,,false
2019-02-28,18785,tt1119646,The Hangover,2009,80.0,,false
2019-03-01,399579,tt0437086,Alita: Battle Angel,2019,50.0,,false
2019-03-03,177221,tt2272350,The Battery,2012,70.0,,false
2019-03-07,1271,tt0416449,300,2007,80.0,,false
2019-03-15,399361,tt1488606,Triple Frontier,2019,70.0,,false
2019-03-24,948,tt0077651,Halloween,1978,70.0,,false
2019-03-25,458723,tt6857112,Us,2019,90.0,,false
2019-03-27,1830,tt0399295,Lord of War,2005,80.0,,false
2019-03-31,7553,tt0348333,Waiting...,2005,90.0,,false
2019-04-02,7453,tt0371724,The Hitchhiker's Guide to the Galaxy,2005,80.0,,false
2019-04-03,447332,tt6644200,A Quiet Place,2018,80.0,,false
2019-04-03,15516,tt0068833,The Last House on the Left,1972,90.0,,false
2019-04-04,419430,tt5052448,Get Out,2017,80.0,,false
2019-04-06,3085,tt0032599,His Girl Friday,1940,90.0,,false
2019-04-09,299537,tt4154664,Captain Marvel,2019,80.0,,false
2019-04-12,345940,tt4779682,The Meg,2018,70.0,,false
2019-04-13,361292,tt1034415,Suspiria,2018,100.0,,false
2019-04-14,11906,tt0076786,Suspiria,1977,80.0,,false
2019-04-15,213681,tt2461150,Masterminds,2016,70.0,,false
2019-04-17,207774,tt2781832,The Borderlands,2014,70.0,,false
2019-04-19,11906,tt0076786,Suspiria,1977,90.0,,false
2019-04-19,437586,tt5613484,mid90s,2018,70.0,,false
2019-04-22,593035,tt9562694,Alien Warfare,2019,50.0,,false
2019-04-27,589871,tt10050782,Grass Is Greener,2019,80.0,,false
2019-04-27,244786,tt2582802,Whiplash,2014,70.0,,false
2019-04-28,481375,tt2386237,Malevolent,2018,60.0,,false
2019-04-30,106845,tt1612319,Re-Kill,2015,80.0,,false
2019-05-05,329010,tt4503598,Emelie,2016,60.0,,false
2019-05-06,299536,tt4154756,Avengers: Infinity War,2018,80.0,,false
2019-05-08,59968,tt1637706,Our Idiot Brother,2011,80.0,,false
2019-05-09,361292,tt1034415,Suspiria,2018,90.0,,false
2019-05-11,371560,tt5225338,The Eyes of My Mother,2016,90.0,,false
2019-05-12,1880,tt0087985,Red Dawn,1984,60.0,,false
2019-05-13,310131,tt4263482,The Witch,2016,70.0,,false
2019-05-16,198184,tt1823672,Chappie,2015,90.0,,false
2019-05-17,458156,tt6146586,John Wick: Chapter 3 - Parabellum,2019,80.0,,false
2019-05-18,346364,tt1396484,It,2017,90.0,,false
2019-05-19,565312,tt9358052,Knock Down the House,2019,100.0,,false
2019-05-23,334536,tt3286052,The Blackcoat's Daughter,2017,70.0,,false
2019-05-24,583,tt0079470,Life of Brian,1979,100.0,,false
2019-05-31,11665,tt0425061,Get Smart,2008,80.0,,false
2019-06-04,5236,tt0373469,Kiss Kiss Bang Bang,2005,90.0,,false
2019-06-06,11455,tt0078446,Up in Smoke,1978,90.0,,false
2019-06-07,606215,tt10289996,The Black Godfather,2019,100.0,,false
2019-06-08,346385,tt3727120,The History of Time Travel,2014,60.0,,false
2019-06-09,1092,tt0041959,The Third Man,1949,90.0,,false
2019-06-16,3509,tt0405296,A Scanner Darkly,2006,70.0,,false
2019-06-16,11381,tt0114694,Tommy Boy,1995,90.0,,false
2019-06-21,103328,tt2076220,Holy Motors,2012,60.0,,false
2019-06-21,460885,tt6998518,Mandy,2018,70.0,,false
2019-06-29,11665,tt0425061,Get Smart,2008,80.0,,false
2019-06-29,11544,tt0275847,Lilo & Stitch,2002,80.0,,false
2019-06-30,15022,tt0407732,Dirty Deeds,2005,60.0,,false
2019-06-30,181886,tt2316411,Enemy,2014,60.0,,false
2019-07-02,530385,tt8772262,Midsommar,2019,90.0,,false
2019-07-03,11977,tt0080487,Caddyshack,1980,90.0,,false
2019-07-05,294963,tt2494362,Bone Tomahawk,2015,80.0,,false
2019-07-06,10774,tt0074958,Network,1976,80.0,,false
2019-07-10,301528,tt1979376,Toy Story 4,2019,90.0,,false
2019-07-20,24803,tt1135503,Julie & Julia,2009,70.0,,false
2019-07-22,398818,tt5726616,Call Me by Your Name,2017,80.0,,false
2019-07-22,9067,tt0114614,Tank Girl,1995,60.0,,false
