tmdb_id,title,release_year,added_date
126757,100 Bloody Acres,2012,2020-01-10
510284,Braid,2018,2020-01-10
9060,Dumplings,2004,2020-01-10
517116,Haunt,2019,2020-01-10
537476,I Trapped the Devil,2019,2020-01-10
409617,Killing Ground,2016,2020-01-10
521936,Mega Time Squad,2018,2020-01-10
440444,Piercing,2018,2020-01-10
121606,Resolution,2012,2020-01-10
401272,Ruin Me,2017,2020-01-10
396940,Super Dark Times,2017,2020-01-10
463843,Sweetheart,2019,2020-01-10
430231,The Endless,2017,2020-01-10
503751,The Ranger,2018,2020-01-10
185460,Willow Creek,2013,2020-01-10
480001,The Art of Self-Defense,2019,2020-01-18
21512,The Blood of Heroes,1989,2020-02-04
389,12 Angry Men,1957,2023-04-24
62,2001: A Space Odyssey,1968,2023-04-24
185,A Clockwork Orange,1971,2023-04-24
25237,Come and See,1985,2023-04-24
14537,Harakiri,1962,2023-04-24
832,M,1931,2023-04-24
26317,Man with a Movie Camera,1929,2023-04-24
3763,Onibaba,1964,2023-04-24
655,"Paris, Texas",1984,2023-04-24
11645,Ran,1985,2023-04-24
346,Seven Samurai,1954,2023-04-24
44967,Strike,1925,2023-04-24
44379,The Gleaners and I,2000,2023-04-24
274,The Silence of the Lambs,1991,2023-04-24
965150,Aftersun,2022,2023-04-26
426,Vertigo,1958,2023-04-26
466420,Killers of the Flower Moon,2023,2023-06-13
817758,TÁR,2022,2023-06-13
14746,Streets of Fire,1984,2023-06-16
67,Paradise Now,2005,2023-07-13
372058,Your Name.,2016,2023-07-13
900379,Afire,2023,2023-07-30
174958,Harakiri,1919,2023-07-30
511819,Memoria,2021,2023-08-07
6950,Outbreak,1995,2023-08-07
507441,Sea Fever,2019,2023-08-07
594718,Sputnik,2020,2023-08-07
1398,Stalker,1979,2023-08-07
958340,Of an Age,2022,2023-08-19
34637,The Navigator: A Medieval Odyssey,1988,2023-08-19
1008048,How to Blow Up a Pipeline,2022,2023-08-31
380623,Nocturama,2016,2023-08-31
8740,The Vanishing,1988,2023-09-01
49797,I Saw the Devil,2010,2023-10-18
443791,Underwater,2020,2023-10-18
901385,Significant Other,2022,2023-10-31
807356,Watcher,2022,2023-10-31
823482,Dream Scenario,2023,2024-01-02
654,On the Waterfront,1954,2024-01-02
906126,Society of the Snow,2023,2024-01-04
28,Apocalypse Now,1979,2024-02-17
12761,Autumn Sonata,1978,2024-02-17
9693,Children of Men,2006,2024-02-17
11104,Chungking Express,1994,2024-02-17
36095,Cure,1997,2024-02-17
758866,Drive My Car,2021,2024-02-17
769,GoodFellas,1990,2024-02-17
12477,Grave of the Fireflies,1988,2024-02-17
27064,Mishima: A Life in Four Chapters,1985,2024-02-17
238,The Godfather,1972,2024-02-17
103663,The Hunt,2012,2024-02-17
7345,There Will Be Blood,2007,2024-02-17
181886,Enemy,2013,2024-03-03
74725,Kill List,2011,2024-03-21
9913,The Skeleton Key,2005,2024-03-21
26466,Triangle,2009,2024-03-21
408690,"Gulîstan, Land of Roses",2016,2024-06-07
72525,Syrup,2013,2024-06-11
18491,Neon Genesis Evangelion: The End of Evangelion,1997,2024-09-12
11524,Thief,1981,2024-09-12
3175,Barry Lyndon,1975,2024-09-14
135551,Satan's Rhapsody,1917,2024-09-14
336592,The Science of Interstellar,2014,2024-12-08
1084736,The Count of Monte Cristo,2024,2024-12-14
549509,The Brutalist,2024,2024-12-22
933260,The Substance,2024,2024-12-22
665888,Lapsis,2020,2024-12-23
17431,Moon,2009,2024-12-23
506072,Prospect,2018,2024-12-23
29266,War and Peace,1965,2024-12-29
985,Eraserhead,1977,2025-01-17
1018,Mulholland Drive,2001,2025-01-17
452522,Twin Peaks,1989,2025-01-17
1923,Twin Peaks: Fire Walk with Me,1992,2025-01-17
838209,Exhuma,2024,2025-01-20
400617,Phantom Thread,2017,2025-03-09
1189735,Fréwaka,2024,2025-06-01
55420,Another Earth,2011,2025-06-08
2666,Dark City,1998,2025-06-08
11235,Local Hero,1983,2025-06-08
32015,I Am Cuba,1964,2025-07-19
38360,The Cranes Are Flying,1957,2025-07-19
14784,The Fall,2006,2025-07-28
14002,Baraka,1992,2025-08-03
931954,Venus,2022,2025-08-13
12516,Dreams,1990,2025-08-18
16858,All That Jazz,1979,2025-08-23
8051,Punch-Drunk Love,2002,2025-08-23
1244244,Cloud,2024,2025-08-24
648878,Eddington,2025,2025-09-09
1078605,Weapons,2025,2025-09-09
13973,Choke,2008,2025-09-14
2322,Sneakers,1992,2025-09-17
843,In the Mood for Love,2000,2025-09-29
29845,A Woman Under the Influence,1974,2025-10-04
4946,The Swimming Pool,1969,2025-10-04
74643,The Artist,2011,2025-10-19
266,Contempt,1963,2025-12-29
586810,Mars Express,2023,2026-01-18
8843,The Cell,2000,2026-01-18
289,Casablanca,1942,2026-01-24
8487,Wild Wild West,1999,2026-03-29
631341,The Changin' Times of Ike White,2020,2026-05-07
197583,50 to 1,2014,2026-05-24
19118,Let It Ride,1989,2026-05-24
9023,Spirit: Stallion of the Cimarron,2002,2026-05-24
17264,The Black Stallion,1979,2026-05-24
10328,Cocoon,1985,2026-05-31
1432596,Palestine 36,2025,2026-06-07
23963,Pontypool,2008,2026-06-22
1476682,Gail Daughtry and the Celebrity Sex Pass,2026,2026-07-18
1596260,Night Nurse,2026,2026-07-18
1339666,The Kidnapping of Arabella,2025,2026-07-18
260066,Kurosawa's Way,2011,2026-07-19
429200,Good Time,2017,2026-07-20
